State,County,Under 19 years:,Under 19 years With health insurance coverage,Under 19 years No health insurance coverage,19 to 64 years:,19 to 64 years With health insurance coverage,19 to 64 years No health insurance coverage,65 years and over:,65 years and over With health insurance coverage,65 years and over No health insurance coverage
AL,Autauga,0.2564418256969484,0.24921291003429777,0.007228915662650603,0.5809691320024624,0.5228739776624747,0.05809515433998769,0.1625890423005892,0.16153372614545775,0.0010553161551314749
AL,Baldwin,0.22267089702913181,0.2099458762449312,0.012725020784200614,0.5639983711973396,0.49180084494138004,0.07219752625595956,0.21333073177352857,0.21005615975839428,0.0032745720151342913
AL,Barbour,0.2553357506770092,0.2546472667186854,0.0006884839583237711,0.5408270987285996,0.47588011199339053,0.06494698673520907,0.20383715059439114,0.20383715059439114,0.0
AL,Bibb,0.20260861492759005,0.19643520237653175,0.006173412551058299,0.6113070924619384,0.5542146305235797,0.05709246193835871,0.1860842926104716,0.1860842926104716,0.0
AL,Blount,0.2404498210938831,0.23578122337706595,0.004668597716817175,0.5808144487987732,0.49309933549156587,0.08771511330720735,0.17873573010734367,0.17873573010734367,0.0
AL,Butler,0.232769899000471,0.219896383902873,0.01287351509759799,0.5790465225809828,0.4752734313674185,0.10377309121356429,0.18818357841854624,0.18818357841854624,0.0
AL,Calhoun,0.2352859050095549,0.22210975471418226,0.01317615029537264,0.5843229989267109,0.46953342466470627,0.1147895742620047,0.18039109606373419,0.17809617717122886,0.002294918892505301
AL,Chambers,0.22912774404483885,0.21315973843998132,0.015968005604857543,0.5573622139187295,0.45682508173750586,0.10053713218122373,0.21351004203643156,0.21351004203643156,0.0
AL,Cherokee,0.16778229340983344,0.16515260180094032,0.002629691608893139,0.6082157940871783,0.524782851223205,0.08343294286397322,0.2240019125029883,0.2240019125029883,0.0
AL,Chilton,0.2420416266981953,0.23309612510317443,0.008945501595020859,0.59932629888237,0.5072166328328909,0.09210966604947911,0.15863207441943472,0.15863207441943472,0.0
AL,Clarke,0.22254970526526127,0.21820361674492955,0.004346088520331702,0.5775302227994805,0.508742132081127,0.06878809071835348,0.19992007193525826,0.19992007193525826,0.0
AL,Coffee,0.2598746987951807,0.2387855421686747,0.021089156626506025,0.5690795180722892,0.4885397590361446,0.08053975903614458,0.17104578313253013,0.17027469879518073,0.0007710843373493976
AL,Colbert,0.22292759706190976,0.21776845050717034,0.005159146554739419,0.5711087792934593,0.5158097236796082,0.055299055613851,0.205963623644631,0.205963623644631,0.0
AL,Covington,0.2378144018958367,0.2093229924058814,0.028491409489955297,0.5553401195669737,0.4537620509506113,0.10157806861636236,0.20684547853718963,0.20684547853718963,0.0
AL,Cullman,0.23018364463977398,0.22190954548512232,0.008274099154651658,0.5837051819629123,0.5102809606027311,0.07342422136018117,0.18611117339731373,0.1846985223221293,0.0014126510751844294
AL,Dale,0.26162967467315296,0.259262476653781,0.0023671980193719325,0.5518394648829431,0.48853320592451027,0.06330625895843286,0.18653086044390393,0.18653086044390393,0.0
AL,Dallas,0.25960431558375496,0.24988622065162103,0.009718094932133966,0.5468637057264477,0.4677535940888282,0.07911011163761947,0.19353197868979735,0.19353197868979735,0.0
AL,DeKalb,0.2546285875070343,0.2367051209904333,0.017923466516601014,0.5751406865503658,0.40675295441755766,0.1683877321328081,0.1702307259425999,0.16840180078784467,0.0018289251547552053
AL,Elmore,0.23992231538060727,0.22836435981242006,0.0115579555681872,0.588780730424897,0.45116290085737293,0.13761782956752405,0.17129695419449575,0.17129695419449575,0.0
AL,Escambia,0.23588907931334813,0.22313376225662349,0.012755317056724638,0.5659258843030933,0.47234006686708063,0.0935858174360127,0.19818503638355855,0.19801646391144326,0.00016857247211530358
AL,Etowah,0.2294944450405283,0.21626788657933496,0.013226558461193317,0.5827781625228002,0.4703621697018172,0.11241599282098302,0.1877273924366715,0.18460608070541645,0.00312131173125506
AL,Franklin,0.302699814564541,0.25470660338812584,0.047993211176415126,0.5334883867115064,0.44293930917434077,0.09054907753716566,0.1638117987239526,0.1638117987239526,0.0
AL,Geneva,0.24100549882168107,0.2237234878240377,0.01728201099764336,0.5465828750981933,0.4480754124116261,0.09850746268656717,0.21241162608012568,0.21241162608012568,0.0
AL,Houston,0.2396466921979425,0.23258804535556057,0.007058646842381918,0.5770068333708793,0.4733329578733949,0.10367387549748441,0.18334647443117819,0.18298040099121424,0.00036607343996395585
AL,Jackson,0.22889148012922217,0.20752011928201403,0.02137136084720815,0.5628237722936937,0.45395981878309405,0.10886395351059966,0.2082847475770841,0.2082847475770841,0.0
AL,Jefferson,0.24286856636681214,0.23372328027051908,0.009145286096293061,0.5939870877630026,0.5149960017716158,0.07899108599138681,0.1631443458701853,0.16236435122131138,0.0007799946488739205
AL,Lauderdale,0.2117060485907396,0.20427022554613541,0.007435823044604193,0.5892459946487864,0.47522645949518066,0.11401953515360562,0.1990479567604741,0.1990479567604741,0.0
AL,Lawrence,0.22241148558218762,0.22013018615403335,0.002281299428154277,0.603814332643874,0.5009733544226792,0.1028409782211948,0.17377418177393844,0.17377418177393844,0.0
AL,Lee,0.2316860580663112,0.22344684258044734,0.008239215485863868,0.6394505675462355,0.5330448756168055,0.10640569192943007,0.1288633743874532,0.12667155000596222,0.0021918243814910083
AL,Limestone,0.24143978380243222,0.23897689484326634,0.002462888959165876,0.5994978389826447,0.5084284468466397,0.09106939213600514,0.159062377214923,0.159062377214923,0.0
AL,Macon,0.23713000236798484,0.20686715605020128,0.030262846317783566,0.5952166706133081,0.4982713710632252,0.09694529955008288,0.16765332701870708,0.16609045702107506,0.0015628699976320151
AL,Madison,0.23358883116816287,0.22099147568653787,0.012597355481624998,0.6101663952162983,0.5478768979012126,0.06228949731508569,0.1562447736155388,0.15556035846886554,0.0006844151466732535
AL,Marion,0.20185752052316683,0.19952692361207736,0.002330596911089467,0.5982677055795186,0.4574231250869626,0.140844580492556,0.1998747738973146,0.1998747738973146,0.0
AL,Marshall,0.26722318864448125,0.2606560920628712,0.0065670965816100706,0.5663863470267934,0.44459655587693386,0.1217897911498595,0.1663904643287254,0.16375539109221726,0.0026350732365081164
AL,Mobile,0.24779987340565668,0.23753791109557873,0.010261962310077937,0.583687903397274,0.46877054408684665,0.11491735931042742,0.16851222319706927,0.1678157099181047,0.0006965132789645658
AL,Monroe,0.23314976363370535,0.22306155270724695,0.010088210926458405,0.5308738242604415,0.43900774891563915,0.09186607534480237,0.2359764121058531,0.2359764121058531,0.0
AL,Montgomery,0.2600707988545918,0.2480395030551735,0.012031295799418277,0.5799824130233817,0.48266329958738247,0.0973191134359992,0.15994678812202656,0.15670447115059413,0.0032423169714324365
AL,Morgan,0.24811158692453744,0.2389058300387135,0.009205756885823957,0.5703377362057487,0.4685894643400212,0.10174827186572746,0.18155067686971388,0.18155067686971388,0.0
AL,Pickens,0.24544155472992282,0.2437839382680766,0.0016576164618462418,0.5209488425264361,0.46756216061731926,0.05338668190911689,0.23360960274364104,0.23360960274364104,0.0
AL,Pike,0.23392916958494472,0.22031730564268096,0.013611863942263772,0.6120466518468893,0.5386887542251592,0.07335789762173026,0.1540241785681659,0.1540241785681659,0.0
AL,Randolph,0.23642539128838297,0.22242621746913296,0.013999173819250012,0.6339101298939734,0.5294441639509799,0.10446596594299352,0.12966447881764354,0.1270023408454583,0.0026621379721852483
AL,Russell,0.26473544403761934,0.26238423433125135,0.002351209706368009,0.5829025773565941,0.48499533347691864,0.0979072438796755,0.15236197860578649,0.14880824179768828,0.0035537368080982125
AL,St. Clair,0.24062172738797333,0.23709419610869206,0.0035275312792812656,0.5805985779639531,0.501659042054787,0.07893953590916607,0.17877969464807364,0.17805214132172187,0.000727553326351761
AL,Shelby,0.2453510419541202,0.23864799665292824,0.006703045301191949,0.5914658571975395,0.5408592004415286,0.050606656756010934,0.16318310084834026,0.16318310084834026,0.0
AL,Talladega,0.23125024124753926,0.2247526408563966,0.006497600391142677,0.5721490974125397,0.4996847698820139,0.07246432753052585,0.196600661339921,0.196600661339921,0.0
AL,Tallapoosa,0.21632754342431762,0.2055831265508685,0.010744416873449132,0.5576923076923077,0.48208436724565756,0.07560794044665012,0.2259801488833747,0.22511166253101736,0.0008684863523573201
AL,Tuscaloosa,0.2409585357042508,0.23700254664008527,0.003955989064165518,0.6182671251510813,0.5524960194811277,0.06577110566995366,0.1407743391446679,0.1405424209582681,0.00023191818639978237
AL,Walker,0.24558196221815967,0.24278504351630495,0.0027969187018547165,0.5555399303114111,0.4670697979655932,0.08847013234581791,0.19887810747042922,0.19887810747042922,0.0
AL,Winston,0.20837964942283027,0.19687900812312956,0.011500641299700727,0.5796066695168876,0.4606241983753741,0.11898247114151347,0.21201368106028218,0.21201368106028218,0.0
AK,Anchorage Municipality,0.261379852637097,0.2433999767015173,0.017979875935579696,0.6076717535020532,0.5384424964324198,0.06922925706963334,0.1309483938608498,0.1274900253370999,0.003458368523749891
AK,Fairbanks North Star Borough,0.2696608230817713,0.26124559396811314,0.008415229113658116,0.5924624757814141,0.500245103760592,0.09221737202082214,0.13787670113681458,0.1338850113214594,0.003991689815355167
AK,Juneau City and Borough,0.22261818411176637,0.19849254154971774,0.02412564256204863,0.6379576776309566,0.5817906588034942,0.05616701882746224,0.13942413825727712,0.13942413825727712,0.0
AK,Kenai Peninsula Borough,0.23184219073178236,0.213107468248406,0.01873472248337635,0.5754773422676536,0.4827780721697065,0.09269927009794704,0.1926804670005641,0.19237277995247945,0.00030768704808464814
AK,Matanuska-Susitna Borough,0.2781518718173509,0.24804610994012422,0.03010576187722669,0.5863628732909291,0.48107664471843464,0.10528622857249445,0.13548525489171998,0.13483240379772807,0.0006528510939919046
AZ,Apache,0.28440310459529383,0.2403443390415178,0.044058765553776025,0.5457989404952569,0.39255574719724035,0.1532431932980165,0.1697979549094493,0.1666102008131083,0.0031877540963410125
AZ,Cochise,0.23479015382541743,0.22047748218287197,0.014312671642545448,0.5158037504422691,0.45959766144929487,0.05620608899297424,0.24940609573231345,0.24709787205364514,0.0023082236786683068
AZ,Coconino,0.23506623776417282,0.21764034450555153,0.017425893258621285,0.6247449067828854,0.536584690948082,0.08816021583480337,0.1401888554529418,0.13998823977032962,0.00020061568261215453
AZ,Gila,0.20288479787435945,0.16338963750237237,0.039495160371987095,0.4968684759916493,0.39227557411273484,0.1045929018789144,0.3002467261339913,0.2999240842664642,0.00032264186752704497
AZ,Graham,0.2922060038556871,0.275626549160011,0.01657945469567612,0.5580005508124484,0.478518314513908,0.07948223629854034,0.1497934453318645,0.1497934453318645,0.0
AZ,La Paz,0.21402271430793965,0.1451537623813722,0.06886895192656745,0.4340092309287974,0.3302909298345693,0.10371830109422808,0.351968054763263,0.3494788155370015,0.002489239226261474
AZ,Maricopa,0.2464904593563489,0.22734950868561823,0.019140950670730655,0.5957923418702044,0.5099389975701757,0.0858533443000287,0.15771719877344675,0.15619152120729948,0.0015256775661472738
AZ,Mohave,0.17681652400791537,0.1600357766830566,0.01678074732485877,0.5093311335925443,0.43456157343256885,0.07476956015997553,0.3138523423995403,0.3138523423995403,0.0
AZ,Navajo,0.2740772208061928,0.22224110261493438,0.05183611819125838,0.5212215614084773,0.40987444538846407,0.11134711602001322,0.20470121778532993,0.2027565373359766,0.0019446804493533465
AZ,Pima,0.22387308446908238,0.2070000223060369,0.01687306216304549,0.5682036172633208,0.49824897610441554,0.0699546411589053,0.20792329826759678,0.20649959121762837,0.0014237070499684321
AZ,Pinal,0.24233870223796608,0.2197952989797236,0.02254340325824247,0.5410301470452574,0.45991771369531925,0.08111243334993819,0.21663115071677644,0.21488994667995057,0.0017412040368258888
AZ,Santa Cruz,0.2733659515744574,0.2559904654372099,0.01737548613724752,0.5257391377075231,0.4215907665286664,0.10414837117885668,0.2008949107180195,0.19721490402709824,0.0036800066909212564
AZ,Yavapai,0.1635226645987717,0.14792222171538522,0.015600442883386483,0.4983599215416323,0.40183373626874896,0.09652618527288334,0.33811741385959604,0.3369687369115104,0.0011486769480856076
AZ,Yuma,0.2734137978190511,0.2297239119314009,0.043689885887650236,0.5243242148128263,0.40425046977010387,0.12007374504272249,0.20226198736812248,0.20137056377477372,0.0008914235933487645
AR,Baxter,0.18371053700738474,0.18100996582463016,0.0027005711827545824,0.5104079535406161,0.4642114571134957,0.046196496427120426,0.30588150945199916,0.30564252085175536,0.00023898860024376838
AR,Benton,0.2709405805038335,0.25672918948521356,0.014211391018619934,0.5965532584884995,0.5085877601314348,0.08796549835706462,0.13250616100766704,0.1318695235487404,0.0006366374589266156
AR,Boone,0.24319627867187082,0.23170079666363685,0.011495482008233974,0.5508741913062075,0.4761000908945089,0.07477410041169866,0.20592953002192163,0.20592953002192163,0.0
AR,Carroll,0.2308593334043233,0.21506406843431655,0.015795264970006745,0.5430731551485465,0.4337486245696234,0.10932453057892308,0.22606751144713022,0.22439924750647783,0.0016682639406523977
AR,Clark,0.2211438310766026,0.19974434239181896,0.021399488684783637,0.5659501941104063,0.5084745762711864,0.05747561783921977,0.2129059748129912,0.2129059748129912,0.0
AR,Cleburne,0.21341093731053717,0.19457580534335717,0.018835131967179983,0.5188149225981165,0.4535790792611455,0.06523584333697102,0.26777414009134637,0.26777414009134637,0.0
AR,Columbia,0.2262734584450402,0.2242627345844504,0.0020107238605898124,0.570911528150134,0.5377122430741734,0.03319928507596068,0.20281501340482574,0.20205540661304736,0.0007596067917783736
AR,Conway,0.21837253655435473,0.20761057124693488,0.010761965307419854,0.5854599945509037,0.49777495232040686,0.08768504223049678,0.19616746889474163,0.19616746889474163,0.0
AR,Craighead,0.275900113018675,0.26734298476938806,0.008557128249286906,0.5873562599788315,0.534138815636044,0.05321744434278743,0.1367436270024936,0.13521877186373177,0.0015248551387618177
AR,Crawford,0.2535962447633629,0.22750138802429462,0.026094856739068258,0.5730773760452244,0.4862122920066625,0.08686508403856184,0.17332637919141275,0.17332637919141275,0.0
AR,Crittenden,0.2871402534650108,0.28215996270080107,0.004980290764209723,0.5713559106514644,0.49442631288941635,0.07692959776204807,0.14150383588352478,0.13813419234518715,0.0033696435383376426
AR,Faulkner,0.2551999023874405,0.23772725424004557,0.017472648147394965,0.613917924106235,0.5473868304388498,0.0665310936673852,0.13088217350632447,0.13028022938951478,0.0006019441168096962
AR,Garland,0.20944428216001693,0.19351914340683138,0.01592513875318553,0.5523333702670307,0.4622923738630297,0.09004099640400093,0.23822234757295244,0.2367114235925743,0.0015109239803781339
AR,Greene,0.253397212543554,0.2449259581881533,0.008471254355400698,0.5900043554006968,0.5125,0.07750435540069686,0.15659843205574914,0.15659843205574914,0.0
AR,Hempstead,0.23758499896970947,0.20090665567690089,0.03667834329280857,0.6239954667216155,0.5458479291160108,0.07814753760560478,0.13841953430867504,0.1362559241706161,0.0021636101380589326
AR,Hot Spring,0.2397395614006673,0.20255255741634542,0.037187003984321856,0.5470182371805254,0.487091445045512,0.059926792135013444,0.2132422014188073,0.2132422014188073,0.0
AR,Independence,0.2438095238095238,0.229215291750503,0.014594232059020792,0.580952380952381,0.47281019450033535,0.10814218645204561,0.17523809523809525,0.17523809523809525,0.0
AR,Jefferson,0.24336119297228528,0.23055864212441826,0.012802550847867047,0.5652446978114885,0.505193487608097,0.06005121020339147,0.19139410921622624,0.19047619047619047,0.0009179187400357506
AR,Johnson,0.2754942564663593,0.2552942095803704,0.020200046885988903,0.5542314604985543,0.4905446589044307,0.06368680159412363,0.17027428303508635,0.17027428303508635,0.0
AR,Logan,0.23553758325404378,0.21607992388201713,0.01945765937202664,0.5694100856327308,0.5192197906755471,0.050190294957183634,0.1950523311132255,0.1950523311132255,0.0
AR,Lonoke,0.26696148834114286,0.25287659078936425,0.014084897551778634,0.5898050849807303,0.5349627082928994,0.05484237668783098,0.14323342667812683,0.14323342667812683,0.0
AR,Miller,0.2521701388888889,0.2221016589506173,0.030068479938271605,0.5822723765432098,0.49341724537037035,0.08885513117283951,0.16555748456790123,0.16555748456790123,0.0
AR,Mississippi,0.2802254362036132,0.2709609346852643,0.00926450151834886,0.5659838385917958,0.490761233208091,0.07522260538370477,0.15379072520459108,0.15005918987081168,0.003731535333779402
AR,Ouachita,0.25031795058139533,0.24859193313953487,0.0017260174418604651,0.5418332122093024,0.48460210755813954,0.05723110465116279,0.20784883720930233,0.20784883720930233,0.0
AR,Poinsett,0.2625857613828744,0.23732513588167156,0.025260625501202887,0.5672725652677537,0.44725118061124475,0.12002138465650895,0.17014167334937183,0.17014167334937183,0.0
AR,Polk,0.2815667983437247,0.2759030983770406,0.005663699966684118,0.514540002855647,0.42235019751558706,0.09218980534005997,0.20389319880062826,0.20389319880062826,0.0
AR,Pope,0.2534848843634067,0.23469887126055727,0.018786013102849476,0.5902912621359223,0.5044754913568553,0.08581577077906702,0.15622385350067092,0.15595548188491593,0.0002683716157549925
AR,Pulaski,0.24600832309826434,0.22899289485357655,0.017015428244687807,0.5909784384062523,0.5138602919494666,0.07711814645678579,0.16301323849548333,0.16292862289390486,8.461560157846559e-05
AR,St. Francis,0.24196285942492013,0.23682108626198084,0.005141773162939297,0.5703873801916933,0.5006988817891374,0.0696884984025559,0.18764976038338657,0.18764976038338657,0.0
AR,Saline,0.24153377242715948,0.2386869003675199,0.002846872059639557,0.5785262209783911,0.5295342871158935,0.048991933862497686,0.1799400065944494,0.1799400065944494,0.0
AR,Sebastian,0.2423101759249051,0.2281353850030712,0.014174790921833902,0.60241286441025,0.5071976438347534,0.09521522057549651,0.15527695966484495,0.15399335359803443,0.0012836060668105144
AR,Union,0.2708152130940144,0.2688911731372394,0.0019240399567749928,0.5380195566801086,0.4782425344614006,0.059777022218707995,0.19116523022587703,0.19116523022587703,0.0
AR,Washington,0.2594685762819661,0.2404368285250798,0.01903174775688633,0.6177468632636549,0.5301959931891461,0.0875508700745088,0.12278456045437895,0.11936303219859355,0.0034215282557854016
AR,White,0.24425900853988752,0.2330243699229327,0.011234638616954801,0.5955660279108519,0.5106488231618412,0.08491720474901063,0.16017496354926056,0.16017496354926056,0.0
AR,Yell,0.2246267150928168,0.21771589991928975,0.006910815173527038,0.604317998385795,0.5311743341404358,0.07314366424535916,0.1710552865213882,0.1710552865213882,0.0
CA,Alameda,0.21407169475685683,0.2085284365549013,0.005543258201955534,0.6381208885063197,0.6028203375943613,0.03530055091195833,0.14780741673682357,0.1464357758092529,0.0013716409275706532
CA,Amador,0.17045694943939074,0.1697694097736408,0.0006875396657499471,0.5514068119314576,0.5274486989634017,0.02395811296805585,0.27813623862915166,0.27734292363020946,0.0007933149989422467
CA,Butte,0.23295829932765924,0.22455403987408185,0.008404259453577397,0.5858934747969375,0.5315912712292565,0.05430220356768101,0.18114822587540322,0.18085674866892076,0.0002914772064824531
CA,Calaveras,0.18633988499967205,0.1697238680338442,0.01661601696582785,0.5166050853757187,0.4795688580860972,0.03703622728962155,0.29705502962460917,0.29705502962460917,0.0
CA,Colusa,0.30826894775570274,0.2725349521707138,0.035733995584988965,0.5862766740250184,0.4735099337748344,0.11276674025018396,0.10545437821927889,0.10149926416482707,0.0039551140544518025
CA,Contra Costa,0.23464952111107076,0.22796479556623406,0.0066847255448367,0.5992382059438618,0.5655871124649504,0.03365109347891142,0.16611227294506745,0.16499656639145904,0.0011157065536084026
CA,Del Norte,0.27120952677459526,0.25435865504358657,0.01685087173100872,0.5518368617683687,0.503502490660025,0.04833437110834371,0.17695361145703611,0.16897571606475717,0.007977895392278955
CA,El Dorado,0.20538123586450724,0.20009878597239192,0.00528244989211532,0.5701978319078691,0.5416590844100138,0.028538747497855305,0.2244209322276237,0.2244209322276237,0.0
CA,Fresno,0.30005242581746827,0.2939440691421638,0.006108356675304444,0.5749774069691387,0.5248523339474643,0.05012507302167433,0.12497016721339305,0.12384875401307151,0.001121413200321545
CA,Glenn,0.3029963987273172,0.29813642879619595,0.00485996993112129,0.5262403412468095,0.4477116184748785,0.07852872277193106,0.17076326002587322,0.17009894758924513,0.0006643124366280899
CA,Humboldt,0.20507585676349407,0.19859603961860803,0.006479817144886048,0.5998343060456102,0.5447262721079378,0.05510803393767244,0.1950898371908957,0.19477916102641488,0.00031067616448083793
CA,Imperial,0.3186239383509345,0.3169793367556709,0.0016446015952635473,0.5378669517309432,0.5022202121536058,0.03564673957733739,0.14350910991812232,0.1427514184688759,0.00075769144924642
CA,Kern,0.3109785315615066,0.2980205303331961,0.012958001228310534,0.5728392645434441,0.5087174053402262,0.0641218592032179,0.11618220389504919,0.11504162982859893,0.0011405740664502501
CA,Kings,0.32302853867503317,0.3106748521781103,0.01235368649692289,0.5577259563171232,0.5136659828647279,0.04405997345239532,0.11924550500784362,0.11831784723060215,0.0009276577772414625
CA,Lake,0.20913889174765132,0.2061837481806019,0.0029551435670494143,0.5493773615419675,0.49758148698119586,0.051795874560771574,0.24148374671038123,0.23980769513503977,0.0016760515753414587
CA,Lassen,0.22658954656759267,0.216414759773706,0.010174786793886684,0.5630330152832898,0.49784682935067126,0.06518618593261842,0.21037743814911763,0.2074221058853331,0.002955332263784514
CA,Los Angeles,0.2241675840811812,0.21599168570778046,0.008175898373400744,0.6311912665487004,0.5521971868324099,0.07899407971629056,0.14464114937011835,0.14216020902186408,0.0024809403482542744
CA,Madera,0.302128583840139,0.28633204328252115,0.01579654055761788,0.5443027143722191,0.4772595634889293,0.0670431508832899,0.15356870178764184,0.14961298475633836,0.003955717031303478
CA,Marin,0.20780388326088056,0.20317261402068115,0.004631269240199417,0.5556083113769659,0.5227885689378048,0.03281974243916108,0.23658780536215357,0.23643213244651662,0.00015567291563695518
CA,Mariposa,0.15555753711712514,0.15555753711712514,0.0,0.5720718712381292,0.5524098265638236,0.019662044674305587,0.27237059164474564,0.27237059164474564,0.0
CA,Mendocino,0.22029007937385306,0.18760087554445157,0.03268920382940149,0.5416768002830042,0.4853523182029229,0.05632448208008136,0.23803312034314267,0.23795573636383735,7.738397930531296e-05
CA,Merced,0.31164369079837617,0.29424264208389717,0.017401048714479027,0.5706719384303113,0.4992212167343257,0.07145072169598557,0.11768437077131258,0.11578850924672981,0.0018958615245827696
CA,Monterey,0.28422085680150194,0.2762464205116535,0.007974436289848476,0.5678111547287175,0.47436280366387895,0.09344835106483852,0.1479679884697806,0.14436242438034552,0.0036055640894350574
CA,Napa,0.2086616799982208,0.1950212390561408,0.013640440942080018,0.5928402511620321,0.5441720474746651,0.048668203687367025,0.19849806883974705,0.19849806883974705,0.0
CA,Nevada,0.17692908008974734,0.1649985367281241,0.011930543361623256,0.546678372841674,0.49062530484830746,0.0560530679933665,0.2763925470685787,0.27618768900595064,0.00020485806262803628
CA,Orange,0.2281615128888336,0.2198817944551015,0.008279718433732111,0.6153655786316256,0.5564595192966046,0.058906059335020834,0.15647290847954087,0.15490174179944274,0.0015711666800981535
CA,Placer,0.23466452425837836,0.2301053947664026,0.0045591294919757365,0.565341824823935,0.5436670345878469,0.021674790236088183,0.1999936509176866,0.1992732742705881,0.0007203766470984694
CA,Riverside,0.2622215232185124,0.25192426778448856,0.010297255434023813,0.5890875209222031,0.5191075766709429,0.06997994425126026,0.14869095585928452,0.14687879330423798,0.0018121625550465421
CA,Sacramento,0.2472661298023363,0.24143361874144573,0.005832511060890601,0.6057854028073972,0.5635146576694147,0.042270745137982624,0.14694846739026643,0.146095426043225,0.0008530413470414107
CA,San Benito,0.2661782845452631,0.26035680977165376,0.005821474773609315,0.6025301603538012,0.548798098619092,0.05373206173470923,0.13129155510093565,0.13129155510093565,0.0
CA,San Bernardino,0.2777730584355148,0.2649096787520512,0.012863379683463657,0.6006443062682922,0.5262566409269097,0.07438766534138253,0.12158263529619288,0.11983632392636898,0.0017463113698239067
CA,San Diego,0.23219001355861,0.22391702218988424,0.008272991368725752,0.6158592528603495,0.5593227822810193,0.056536470579330166,0.15195073358104053,0.14981365190232124,0.0021370816787192903
CA,San Francisco,0.1501772879259407,0.14674857147081216,0.003428716455128537,0.676371301778793,0.649514460238963,0.02685684153983003,0.17345141029526634,0.172693716935617,0.0007576933596493173
CA,San Joaquin,0.28438895814690374,0.2770644416227688,0.007324516524134956,0.5852192412031979,0.5317650351589632,0.05345420604423469,0.1303918006498984,0.1292735440517351,0.001118256598163286
CA,San Luis Obispo,0.20055712311413107,0.19137250950132442,0.009184613612806633,0.5830898019117816,0.5366880686398711,0.046401733271910627,0.2163530749740873,0.21601836922722562,0.00033470574686168375
CA,San Mateo,0.21090823492273425,0.2051770846514843,0.005731150271249954,0.6155679920972172,0.5840684363566103,0.03149955574060694,0.17352377298004848,0.17179435892621212,0.0017294140538363465
CA,Santa Barbara,0.2548967683611692,0.24568993069189396,0.009206837669275233,0.5857128507638502,0.5095469861475103,0.07616586461633991,0.1593903808749806,0.1563747020847221,0.0030156787902585126
CA,Santa Clara,0.22599536421405628,0.22264936925490053,0.0033459949591557307,0.6303677556517628,0.5989037842574082,0.03146397139435466,0.1436368801341809,0.14176615023506708,0.0018707298991138283
CA,Santa Cruz,0.21155721594574725,0.20199246823003406,0.009564747715713192,0.605868629127845,0.5453856656314234,0.06048296349642166,0.18257415492640772,0.17997104319515086,0.0026031117312568454
CA,Shasta,0.23268239476000907,0.21918930740652562,0.013493087353483453,0.5595506364507146,0.5065139997010148,0.053036636749699634,0.2077669687892764,0.20693645459025198,0.0008305141990244227
CA,Siskiyou,0.21582356429320804,0.2084340646809287,0.007389499612279342,0.5164439173470784,0.4770788669433928,0.039365050403685625,0.26773251835971357,0.26773251835971357,0.0
CA,Solano,0.23507279754643196,0.22710554219065318,0.007967255355778769,0.5960802198178066,0.5566293082807922,0.039450911537014445,0.16884698263576145,0.1676133578082067,0.001233624827554755
CA,Sonoma,0.20940163849424454,0.20205952504407343,0.007342113450171109,0.5797905216219019,0.5261536866120502,0.053636835009851704,0.21080783988385357,0.21003214767188635,0.0007756922119672301
