State,County,Income in the past 12 months below poverty level:,Income in the past 12 months below poverty level Under 18 years,Income in the past 12 months below poverty level 18 to 64 years,Income in the past 12 months below poverty level 65 years and over,Income in the past 12 months at or above poverty level:,Income in the past 12 months at or above poverty level Under 18 years,Income in the past 12 months at or above poverty level 18 to 64 years,Income in the past 12 months at or above poverty level 65 years and over
AL,Autauga,0.062251497414719886,0.013788160611593658,0.04230303237146124,0.006160304431664989,0.9377485025852801,0.2184263067183154,0.5677377519154964,0.15158444395146842
AL,Baldwin,0.1075681301641921,0.03667452579706451,0.0598610845599949,0.011032519807132692,0.8924318698358079,0.17412434418742964,0.5156821512776397,0.20262537437073855
AL,Barbour,0.12098958094276403,0.035158580805067244,0.06953687979070088,0.016294120346995913,0.879010419057236,0.20030293294166246,0.49116445586817825,0.18754303024739524
AL,Bibb,0.20395469736353508,0.08823802450798367,0.1126531748978834,0.0030634979576680283,0.7960453026364649,0.11158559227627182,0.5014389157073895,0.18302079465280358
AL,Blount,0.10009941380137809,0.024664906928113538,0.06107092660519008,0.014363580268074458,0.8999005861986219,0.2023242261149772,0.5321380823420521,0.16543827774159267
AL,Butler,0.20666352349520667,0.06726386924406727,0.11352087589711352,0.02587877835402588,0.7933364765047933,0.15144847818115145,0.4793860338414794,0.1625019644821625
AL,Calhoun,0.1981415080942914,0.053793311559216135,0.12173388241976711,0.022614314115308152,0.8018584919057086,0.1624893496165862,0.47850397614314116,0.16086516614598126
AL,Chambers,0.18561484918793503,0.07873946371405915,0.0858174983112573,0.02105788716261858,0.814385150812065,0.13122264971071104,0.4894123175423654,0.19375018355898851
AL,Cherokee,0.22563529740296007,0.060517812263134796,0.1313679339370487,0.03374955120277656,0.7743647025970399,0.10069015039693621,0.48314517094187576,0.19052938125822794
AL,Chilton,0.1387635681422254,0.03665073480144727,0.08551838120337696,0.01659445213740117,0.8612364318577747,0.19477821950238977,0.5242328136865145,0.14222539866887032
AL,Clarke,0.16779059893101553,0.044407812578050855,0.08931515060692342,0.03406763574604126,0.8322094010689844,0.15655127628752685,0.5098156751086468,0.16584244967281084
