"Label (Grouping)","Total:","Total:!!Owner occupied","Total:!!Renter occupied"
"Baldwin County, Alabama","","",""
"    Estimate","94,105","71,380","22,725"
"Calhoun County, Alabama","","",""
"    Estimate","44,631","32,470","12,161"
"Cullman County, Alabama","","",""
"    Estimate","35,131","26,688","8,443"
"DeKalb County, Alabama","","",""
"    Estimate","24,979","19,663","5,316"
"Elmore County, Alabama","","",""
"    Estimate","32,108","22,990","9,118"
"Etowah County, Alabama","","",""
"    Estimate","38,006","27,864","10,142"
"Houston County, Alabama","","",""
"    Estimate","44,058","28,246","15,812"
"Jefferson County, Alabama","","",""
"    Estimate","270,147","173,994","96,153"
"Lauderdale County, Alabama","","",""
"    Estimate","38,250","25,600","12,650"
"Lee County, Alabama","","",""
"    Estimate","67,358","43,635","23,723"
"Limestone County, Alabama","","",""
"    Estimate","40,685","30,424","10,261"
"Madison County, Alabama","","",""
"    Estimate","164,493","115,756","48,737"
"Marshall County, Alabama","","",""
"    Estimate","36,003","26,990","9,013"
"Mobile County, Alabama","","",""
"    Estimate","162,963","104,499","58,464"
"Montgomery County, Alabama","","",""
"    Estimate","92,407","55,156","37,251"
"Morgan County, Alabama","","",""
"    Estimate","47,558","35,056","12,502"
"St. Clair County, Alabama","","",""
"    Estimate","33,093","26,306","6,787"
"Shelby County, Alabama","","",""
"    Estimate","86,970","70,581","16,389"
"Talladega County, Alabama","","",""
"    Estimate","33,775","24,634","9,141"
"Tuscaloosa County, Alabama","","",""
"    Estimate","86,694","53,547","33,147"
"Anchorage Municipality, Alaska","","",""
"    Estimate","109,584","69,699","39,885"
"Fairbanks North Star Borough, Alaska","","",""
"    Estimate","36,426","21,307","15,119"
"Matanuska-Susitna Borough, Alaska","","",""
"    Estimate","40,997","32,385","8,612"
"Apache County, Arizona","","",""
"    Estimate","19,875","15,595","4,280"
"Cochise County, Arizona","","",""
"    Estimate","49,952","36,219","13,733"
"Coconino County, Arizona","","",""
"    Estimate","55,145","32,274","22,871"
"Maricopa County, Arizona","","",""
"    Estimate","1,708,034","1,124,423","583,611"
"Mohave County, Arizona","","",""
"    Estimate","102,398","75,418","26,980"
"Navajo County, Arizona","","",""
"    Estimate","40,087","30,131","9,956"
"Pima County, Arizona","","",""
"    Estimate","433,148","279,980","153,168"
"Pinal County, Arizona","","",""
"    Estimate","155,161","126,183","28,978"
"Yavapai County, Arizona","","",""
"    Estimate","112,075","84,686","27,389"
"Yuma County, Arizona","","",""
"    Estimate","74,981","52,569","22,412"
"Benton County, Arkansas","","",""
"    Estimate","106,553","72,972","33,581"
"Craighead County, Arkansas","","",""
"    Estimate","42,186","27,265","14,921"
"Faulkner County, Arkansas","","",""
"    Estimate","48,497","29,945","18,552"
"Garland County, Arkansas","","",""
"    Estimate","42,077","29,204","12,873"
"Jefferson County, Arkansas","","",""
"    Estimate","24,319","15,172","9,147"
"Lonoke County, Arkansas","","",""
"    Estimate","27,880","21,079","6,801"
"Pulaski County, Arkansas","","",""
"    Estimate","172,100","101,202","70,898"
"Saline County, Arkansas","","",""
"    Estimate","49,768","37,987","11,781"
"Sebastian County, Arkansas","","",""
"    Estimate","51,472","32,551","18,921"
"Washington County, Arkansas","","",""
"    Estimate","94,220","56,891","37,329"
"White County, Arkansas","","",""
"    Estimate","29,359","20,586","8,773"
"Alameda County, California","","",""
"    Estimate","589,180","321,870","267,310"
"Butte County, California","","",""
"    Estimate","81,353","47,543","33,810"
"Contra Costa County, California","","",""
"    Estimate","411,560","275,252","136,308"
"El Dorado County, California","","",""
"    Estimate","74,909","57,191","17,718"
"Fresno County, California","","",""
"    Estimate","322,646","180,062","142,584"
"Humboldt County, California","","",""
"    Estimate","55,184","31,837","23,347"
"Imperial County, California","","",""
"    Estimate","47,849","27,644","20,205"
"Kern County, California","","",""
"    Estimate","282,963","168,514","114,449"
"Kings County, California","","",""
"    Estimate","43,143","23,267","19,876"
"Lake County, California","","",""
"    Estimate","27,472","18,443","9,029"
"Los Angeles County, California","","",""
"    Estimate","3,375,587","1,568,009","1,807,578"
